지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 강서구 방화동 904,(철근)콘크리트,철근콘크리트구조,강서구,신마곡벽산블루밍,13.2929,1,122.1244,0,20201126,경로당,37.57100487,126.8086407,방화동,309.99106,4138.4093,108,63,61885.2369,완료,20201126,4,2.628278659,4.25E-05,0.005576819,2020
서울특별시 강서구 방화동 904,(철근)콘크리트,철근콘크리트구조,강서구,신마곡벽산블루밍,13.2929,1,122.1244,0,20201126,경로당,37.57100487,126.8086407,방화동,309.99106,4138.4093,108,63,61885.2369,완료,20201126,4,2.628278659,4.25E-05,0.005576819,2020
서울특별시 구로구 구로동 50-11,(철근)콘크리트,철근콘크리트구조,구로구,온새미어린이집,281.72,2,531.98,0,20140228,어린이집,37.50161664,126.8922459,구로동,11.610832,281.72,2,0,531.98,미진행,20140228,10,1.081911749,0.002033745,0.005651022,2014
서울특별시 구로구 구로동 435,(철근)콘크리트,철근콘크리트구조,구로구,구로구청,255.86,3,596.32,0,20170220,어린이집,37.49551316,126.8882968,구로동,11.880699,290.66,8,0,770.32,미진행,20170220,7,140.6402409,0.182573789,0.005651022,2017
서울특별시 구로구 구로동 435,(철근)콘크리트,철근콘크리트구조,구로구,구로구청,255.86,3,596.32,0,20170220,어린이집,37.49551316,126.8882968,구로동,11.880699,290.66,8,0,770.32,미진행,20170220,7,140.6402409,0.182573789,0.005651022,2017
서울특별시 구로구 구로동 777-22,(철근)콘크리트,철근콘크리트구조,구로구,구로3동주민센터,570.15,4,2543.02,0,20150106,어린이집,37.48734294,126.8903329,구로동,9.499793,570.15,4,1,2543.02,미진행,20150106,9,4.921933494,0.001935468,0.005651022,2015
서울특별시 구로구 궁동 40-1,(철근)콘크리트,철근콘크리트구조,구로구,궁동어린이도서관,325.87,3,658.97,0,20170131,도서관,37.50220913,126.8292523,궁동,11.069951,325.87,3,0,658.97,미진행,20170131,7,2.282918485,0.003464374,0.004867505,2017
서울특별시 영등포구 도림동 81-2,(철근)콘크리트,철근콘크리트구조,영등포구,구립 도림1동 복지관,133.51,5,748.16,0,19920907,어린이집,37.5093864,126.9064519,도림동,2.3125064,133.51,5,1,748.16,미진행,19920907,32,1.94978914,0.002606113,0.005118431,1992
서울특별시 영등포구 신길동 1-10,(철근)콘크리트,벽돌구조,영등포구,밤동산마을도서관,83.21,3,302.81,0,19901222,도서관,37.51489545,126.9245203,신길동,36.471214,83.21,3,1,302.81,미진행,19901222,34,0.619335947,0.002045296,0.005860997,1990
서울특별시 영등포구 신길동 341-6,기타지붕,철근콘크리트구조,영등포구,구립 6.25 참전자 경로당,70.079,2,131.134,0,20171201,경로당,37.50175392,126.90524,신길동,37.70047,70.079,2,0,131.134,미진행,20171201,7,0.197262773,0.001504284,0.005860997,2017
서울특별시 영등포구 신길동 456-62,(철근)콘크리트,철근콘크리트구조,영등포구,창의나라어린이집,123.1,4,412.12,0,20130123,어린이집,37.50889283,126.9215517,신길동,1.2503004,123.1,4,0,412.12,미진행,20130123,11,2.134477137,0.005179261,0.005860997,2013
서울특별시 영등포구 대림동 608-2,(철근)콘크리트,철근콘크리트구조,영등포구,대림도서관,376.33,4,1945.86,0,20070724,도서관,37.50431408,126.896076,대림동,5.231857,376.33,4,2,1945.86,미진행,20070724,17,8.431066872,0.004332823,0.005170102,2007
서울특별시 영등포구 대림동 712,(철근)콘크리트,철근콘크리트구조,영등포구,다온어린이집,156.66,3,477.82,0,20170907,어린이집,37.49453884,126.8968472,대림동,24.417624,156.66,3,1,477.82,미진행,20170907,7,2.366496548,0.004952695,0.005170102,2017
서울특별시 영등포구 대림동 740-7,(철근)콘크리트,철근콘크리트구조,영등포구,대림3동 어린이집,141.89,4,489.88,0,20200612,어린이집,37.49808076,126.8979506,대림동,0.88843274,141.89,4,1,489.88,미진행,20200612,4,2.234961139,0.004562262,0.005170102,2020
서울특별시 영등포구 대림동 808-4,(철근)콘크리트,철근콘크리트구조,영등포구,구립두암경로당,75.56,2,115.78,0,19841205,경로당,37.49370884,126.8956271,대림동,459.9032,75.56,2,0,115.78,미진행,19841205,40,0.529621439,0.004574378,0.005170102,1984
서울특별시 영등포구 대림동 899-2,(철근)콘크리트,철근콘크리트구조,영등포구,보건소(보건분소),403.93,3,1200.6,0,19870430,보건소,37.49545637,126.9058473,대림동,5.834012,937.06,10,3,3306.22,미진행,19951229,29,9.09466357,0.002750774,0.005170102,1995
서울특별시 영등포구 대림동 899-2,(철근)콘크리트,철근콘크리트구조,영등포구,보건소(보건분소),403.93,3,1200.6,0,19870430,보건소,37.49545637,126.9058473,대림동,5.834012,937.06,10,3,3306.22,미진행,19951229,29,9.09466357,0.002750774,0.005170102,1995
서울특별시 영등포구 대림동 899-2,(철근)콘크리트,철근콘크리트구조,영등포구,보건소(보건분소),403.93,3,1200.6,0,19870430,보건소,37.49545637,126.9058473,대림동,5.834012,937.06,10,3,3306.22,미진행,19951229,29,9.09466357,0.002750774,0.005170102,1995
서울특별시 영등포구 대림동 1127,(철근)콘크리트,철근콘크리트구조,영등포구,e편한세상 영등포 아델포레,339.6818,1,330.9096,0,20200728,어린이집,37.49451054,126.9061199,대림동,299.13757,9520.2822,242,5,137427.8549,미진행,20200728,4,99.97977371,0.000727507,0.005170102,2020
서울특별시 동작구 본동 12-12,(철근)콘크리트,철근콘크리트구조,동작구,구립 선재어린이집,213.28,2,445.02,0,19920530,어린이집,37.51149689,126.9568836,본동,5.259014,213.28,2,1,445.02,미진행,19920530,32,1.788978636,0.004019996,0.003570028,1992
